166,268,26011300
166,166,1895398700
108,269,2982418267
108,270,3640062284
167,271,1002383
167,60,101895158
109,272,109076287461
109,273,387000000
163,274,80000000
163,275,1001092
257,276,10939950000
164,277,46150000
259,278,350000000
259,279,12536790000
112,280,78000000
112,281,34860000
263,93,99000000
263,282,3648154807
263,283,3648154807
263,284,3648154807
263,285,3648154768
263,286,1490052
260,287,2503683234
165,288,2518891
165,165,35624485
113,289,70000000
113,290,2629990000
115,291,72923403
115,292,1076597
256,293,33852841041
256,294,200000000
120,295,2954900000
120,296,9000000
110,297,100000
110,298,1430833906
111,299,740000000
111,111,2021602800
258,300,200530000
258,111,1797360000
252,301,1927720000
252,302,160000
251,303,1435658
251,304,3800000000
117,305,130000000
117,117,141047000
118,306,13429409561
118,307,11171347579
192,308,74875000
192,309,6189143320
119,310,10117954494
119,311,10680929378
123,312,39950000
123,313,1040000
254,314,100000
254,315,1810833225
253,316,215000000
253,317,1328512476
253,318,3339428
124,319,109130000
125,320,10700000
125,125,183486532
121,321,18000000
121,322,2326500000
122,323,120000
122,324,1499330000
247,325,500000000
247,326,3925575000
247,327,1239765
249,328,155000000
249,329,3564435921
249,330,1618799
128,331,390000
128,332,1999060000
248,333,150000
248,334,1999640000
243,182,50000000
243,335,1945215000
243,336,2348156
184,337,27387218908
184,338,2500000000
184,169,5700000
184,339,53215240
184,340,1023090675
245,341,1000000000
245,342,1590000000
245,343,2217189
241,344,322500800
241,345,59591805700
236,346,3300000000
236,347,2971513412
236,348,1761676
126,60,20000000
126,126,20076960
237,349,147000000
237,350,1653000000
237,351,3239424
127,352,1073000
127,139,75250000
238,353,5000000000
238,354,2829549488
238,355,3289465
240,356,110000
240,357,1999490000
213,358,4000000
213,213,1000000
130,359,7679311
130,130,21747500
233,202,6167550000
233,360,990000000
129,361,270000000
129,362,1671910000
203,363,1001000
203,364,20899000
235,365,410000000
235,366,890000000
235,367,2202263
229,368,200000000
229,369,1090000000
229,370,1598194
228,371,2000000000
228,228,9062950253
231,372,24500000
231,373,4379646
226,374,50000000
226,375,131759
225,376,1455507
225,377,117582300
116,378,5500
116,60,994500
60,63,5460
60,60,894540
116,378,5500
116,60,994500
116,379,5500
116,60,994500
116,378,5500
116,60,994500
60,193,5460
60,380,894540
60,381,5460
60,60,894540
116,378,5500
116,60,994500
116,378,5500
116,60,994500
116,378,5500
116,60,994500
60,382,6500
60,60,1193500
182,383,50000000
182,384,2764801
60,382,8005392
60,60,48133957
60,385,2006348
60,380,81889064
221,386,420000000
221,387,1118193
217,388,80930000
217,178,6212537742
216,389,100000000
216,390,23284452
150,391,34767585
150,392,33000000
218,393,3672527
218,394,731392
202,91,5687500000
202,395,480000000
149,396,970750000
149,397,5000000
153,398,1257261781
153,399,8040665
212,400,7000000
212,177,10950000
154,401,4800400
154,402,1149600
155,403,1504737
155,404,90850
211,405,70800000
211,406,22000000
151,60,1000000
151,407,9950000
178,408,28919000
178,79,6183568742
177,409,5900000
177,410,5000000
79,411,61700000
79,31,6121818742
31,412,1287509370
31,13,4834259372
13,6,4400216672
13,344,433992700
6,413,13650000
6,7,4386516672
7,3,4367086672
7,414,19380000
215,415,6000000
215,416,374285
152,417,4180536
152,418,1750160
91,419,460000000
91,58,5227450000
3,420,297400000
3,1,4069636672
1,421,82123773
1,0,3987462899
58,19,4387400000
58,422,840000000
19,423,690000000
19,11,3697350000
0,424,21341838
0,425,3966071061
11,426,2977300000
11,427,720000000
157,428,10000
157,157,66208356
214,429,120000
214,430,493697619
158,431,202082565
158,432,100000
159,433,36562904
159,434,100000
208,435,31365000
208,436,100000000
193,60,3480000
193,193,2498080
210,437,100000
210,438,539361373
242,439,110000
242,440,1999680000
156,441,189680000
156,442,110000
209,443,18974493
209,444,410000
161,445,267646007
161,446,120000
205,447,32773400
205,448,545076600
162,449,32321785
162,450,130000
207,451,19820000
207,452,130000
160,453,573421341
160,454,150000
223,455,59830000
223,456,120000
204,457,198280000
204,458,422520000
206,459,24650000
206,460,100000
60,461,7000000
60,60,1411189851
60,382,10500
60,60,48612239
60,461,7000000
60,60,1412903242
60,461,4500000
60,60,907642771
60,461,4500000
60,60,898263540
60,462,1071052
60,60,49038448
60,42,27500
60,380,8336000
60,463,1071052
60,380,3369548
60,461,4500000
60,60,898263540
60,382,4402965
60,60,54816386
60,461,4500000
60,60,911852040
60,464,1345928
60,60,69224072
60,42,100000
60,60,26942500
60,465,4475642
60,60,6174963
60,193,6810360
60,60,89282179
200,466,2595707
200,39,12000000
195,467,1098185
195,195,7925000
197,468,1298141
197,469,1652029
196,470,1668215
196,471,7082569
199,472,34000000
199,473,1251166
198,474,3950000
198,475,30650000
195,195,1592900
195,476,1477100
94,477,1728309
94,94,63021
94,478,1728309
94,94,384924
94,479,1021270
94,94,41686
193,60,1000000
193,193,5593580
60,193,5460
60,60,16115885
194,480,200000000
194,481,3389465
193,60,1680000
193,193,35354574
60,193,8400
60,60,4933100
188,482,200000000
188,483,1439653
186,484,930001
186,485,302304
189,486,126000000
189,487,674000000
189,488,463153
190,47,100000000
190,489,383597186
