body,entityname,userid,username,createdAt,entityName,address,city,country,state
🍓,Foragers Market,10155200088205955,Ranjitha Kumar,2018-05-25 00:08:36.165+00,Foragers Market,300 W 22nd St, New York,New YorkUnited States,New York
😍,General Porpoise,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-07-04 00:56:27.618+00,General Porpoise,2101 7th Ave, Seattle,Seattle,United States,Washington
😍,Black Dog Smoke & Ale House,1270106893044550,Anjali Ramani,2017-12-08 05:06:55.034+00,Black Dog Smoke & Ale House,320 North Chestnut Street, Champaign,Champaign,United States,Illinois
💤,Live Latitude,105856798281199967470,Sujay Khandekar,2018-03-09 08:05:14.979+00,Live Latitude,608 East University Avenue, Champaign,Champaign,United States,Illinois
🐔,Evo Cafe,10207814784727552,Lina Handayani Sie,2018-01-31 18:46:29.555+00,Evo Cafe,711 S 6th St, Champaign,Champaign,United States,Illinois
🥑,Holy Matcha,10156074801518874,Stephanie Raelene Herrera,2018-01-28 02:44:20.439+00,Holy Matcha,3118 University Avenue, San Diego,San Diego,United States,California
😋,ArtScience Culture Lab & Café,10155200088205955,Ranjitha Kumar,2018-10-29 22:47:04.756+00,ArtScience Culture Lab & Café,650 East Kendall Street, Cambridge,Cambridge,United States,Massachusetts
🛍,Zara,1517874618267474,Supriya Khandekar,2018-01-10 17:36:02.417+00,Zara,391 Orchard Road, Singapore,Singapore,Singapore,
🥗,Salad Meister,100162404055730,Opico Alpaca,2017-10-20 20:34:47.789+00,Salad Meister,601 South 6th Street Suite 104, Champaign,Champaign,United States,Illinois
🤔,Whisknladle Bistro & Bar,10155200088205955,Ranjitha Kumar,2018-03-15 20:40:17.056+00,Whisknladle Bistro & Bar,1044 Wall St, La Jolla,San Diego,United States,California
😏,The Wiley Fox,z1voXHUzQHMRlphnQP0KpBSgPim2,Keith Broni,2018-07-15 19:02:07.725+00,The Wiley Fox,28 Eden Quay, North City, Dublin,Dublin,Ireland,County Dublin
🥰,The Boat House,106173579224565293482,Kala Shivaramaiah,2019-03-11 00:48:20.514+00,The Boat House,A82, Loch Lomond, Alexandria,,United Kingdom,Scotland
🎂,Papa Del's,110478412661569610356,cynthia coleman,2018-08-16 22:51:31.912+00,Papa Del's,1201 South Neil Street, Champaign,Champaign,United States,Illinois
🍚,Rabipelao Gràcia - Arepes i Cocteleria tropical,10203814544039457,James Childress,2018-03-20 20:31:05.044+00,Rabipelao Gràcia - Arepes i Cocteleria tropical,Carrer del Torrent d'En Vidalet, 22, Barcelona,Barcelona,Spain,Catalunya
😐,Starbucks,108032751776815363988,Jerry Talton,2017-12-30 19:16:31.909+00,Starbucks,9596 Old Keene Mill Road, Burke,Burke,United States,Virginia
🐷,VISTA,395494837568437,Zifei Feng,2018-03-21 01:13:29.749+00,VISTA,2609 Cherokee Street, St. Louis,St. Louis,United States,Missouri
🛬,Newark Liberty International Airport,105856798281199967470,Sujay Khandekar,2018-07-12 12:28:01.277+00,Newark Liberty International Airport,3 Brewster Road, Newark,Newark,United States,New Jersey
🏢,Mondrian South Beach Hotel,10212391291791338,Jinda Han,2018-12-24 19:45:40.167+00,Mondrian South Beach Hotel,1100 West Avenue, Miami Beach,Miami Beach,United States,Florida
😁,Einstein Bros. Bagels,10215323205660534,Austin Sun,2018-12-10 18:17:24.148+00,Einstein Bros. Bagels,1401 W Green St, Student Center, Urbana,Urbana,United States,Illinois
🥞,The Original Lots of Lox,149333212339665,Mary Barone,2018-05-14 16:01:58.697+00,The Original Lots of Lox,14995 S Dixie Hwy, Miami,Palmetto Bay,United States,Florida
🥑,Red Herring Vegetarian Restaurant,10213860837890673,Gloria Lee,2017-12-21 09:38:42.942+00,Red Herring Vegetarian Restaurant,1209 West Oregon Street, Urbana,Urbana,United States,Illinois
🥐,Presse Café,AIkwmbmie4VhCquS1ciSGq6g9u53,Ailie Fraser,2018-04-22 17:46:45.986+00,Presse Café,904 St Urbain St, Montreal,Montréal,Canada,Québec
🥓,Bui's Food Truck,10154958031528927,Anthony Rodriguez,2017-11-16 19:18:51.842+00,Bui's Food Truck,298 South University Avenue, Philadelphia,Philadelphia,United States,Pennsylvania
🤬,Saravana Bhavan,106173579224565293482,Kala Shivaramaiah,2018-05-19 22:14:22.542+00,Saravana Bhavan,438 Barber Ln, Milpitas,Milpitas,United States,California
🏞,Brookglen Park,105856798281199967470,Sujay Khandekar,2018-09-30 06:06:20.015+00,Brookglen Park,Saratoga,Saratoga,United States,California
🧠,Undergraduate Library,10215323205660534,Austin Sun,2018-01-26 18:23:26.634+00,Undergraduate Library,1402 West Gregory Drive, Urbana,Urbana,United States,Illinois
🚌,Hangang Bridge,nRHTlgGu1QQd1yakJceskhoRpxD3,Eunjin Choi,2018-07-25 12:37:20.358+00,Hangang Bridge,Ichon 1(il)-dong,SeoulSouth Korea,Seoul
🍚,Go Fish Poke Bar- Stanford Shopping Center,10155200088205955,Ranjitha Kumar,2018-07-01 19:52:53.134+00,Go Fish Poke Bar- Stanford Shopping Center,244 Stanford Shopping Center, Palo Alto,Palo Alto,United States,California
🤤,The Himalayan Chimney,10155200088205955,Ranjitha Kumar,2017-12-06 18:42:03.624+00,The Himalayan Chimney,134 West Church Street, Champaign,Champaign,United States,Illinois
🥖,Pret A Manger,1748667878486854,Ingrid Pan,2018-03-16 20:48:50.212+00,Pret A Manger,2955 Broadway, New York,New YorkUnited States,New York
🎓,Main Library,1384478265030952,Handi  Xie,2018-01-25 19:47:39.038+00,Main Library,1408 West Gregory Drive, Urbana,Urbana,United States,Illinois
😍,Pokeworks,1658287927592299,Mosab Elagha,2018-03-15 16:53:54.856+00,Pokeworks,55 River Oaks Place #30, San Jose,San Jose,United States,California
😴,A. Scott Crossfield Elementary School,v83nEQqp82VhPU9JCnvlA7EF4Ks2,Katie Morin,2018-05-23 17:28:09.563+00,A. Scott Crossfield Elementary School,2791 Fox Mill Rd, Herndon,Herndon,United States,Virginia
🏠,Neist Point Lighthouse,10155200088205955,Ranjitha Kumar,2019-05-09 20:54:28.863+00,Neist Point Lighthouse,United Kingdom,,United Kingdom,Scotland
🍗,Rangoli,YERDVEbFfOgOmoxrLA6ZOUpGySQ2,Prijesh Patel,2018-07-15 03:33:42.6+00,Rangoli,3695 Union Ave, San Jose,San Jose,United States,California
🏃,University of Illinois: Armory,2098697743676870,Faith Zou,2018-01-22 03:58:39.436+00,University of Illinois: Armory,505 East Armory Avenue, Champaign,Champaign,United States,Illinois
🏖,Carmel by the sea,105541935333594264230,usha shree,2018-09-03 18:33:28.054+00,Carmel by the sea,800 Ocean Avenue, Carmel-by-the-Sea,Carmel-by-the-Sea,United States,California
👞,Sakanaya Restaurant,1952478298114591,John Ray,2018-02-15 00:08:21.816+00,Sakanaya Restaurant,403 East Green Street, Champaign,Champaign,United States,Illinois
🐖,Toro Loco,10211909841598672,Cynthia J Coleman,2018-10-08 17:44:37.933+00,Toro Loco,1601 North Cunningham Avenue, Urbana,Urbana,United States,Illinois
🐔,Kopan Ramen - UCLA,10155351902975735,Ruta Lele,2018-07-10 04:14:43.57+00,Kopan Ramen - UCLA,1091 Broxton Ave, Los Angeles,Los Angeles,United States,California
🍹,Gallow Green,106173579224565293482,Kala Shivaramaiah,2018-07-15 18:27:06.939+00,Gallow Green,542 West 27th Street, New York,New YorkUnited States,New York
🍷,Rocco Steakhouse,115361705896308,Jerry Talton,2017-11-30 19:09:17.793+00,Rocco Steakhouse,72 Madison Avenue, New York,New YorkUnited States,New York
🍔,The Owners Box,161575927917434,Janessa Wildermuth,2018-03-05 00:10:53.845+00,The Owners Box,555 South Lamar Street, Dallas,Dallas,United States,Texas
🍾,El Celler de Can Roca,108032751776815363988,Jerry Talton,2018-02-16 22:37:18.707+00,El Celler de Can Roca,Carrer de Can Sunyer, 48, Girona,Girona,Spain,Catalunya
🤮,The Aviary NYC,115361705896308,Jerry Talton,2018-01-07 04:38:58.804+00,The Aviary NYC,Mandarin Oriental, New York, 80 Columbus Circle at 60th Street, New York,New YorkUnited States,New York
🤬,Heathrow Airport,106173579224565293482,Kala Shivaramaiah,2018-10-13 21:10:05.478+00,Heathrow Airport,Longford,Longford,United Kingdom,England
🥛,Mademoiselle Colette,10155200088205955,Ranjitha Kumar,2019-05-28 20:47:36.697+00,Mademoiselle Colette,816 Santa Cruz Avenue, Menlo Park,Menlo Park,United States,California
🥘,Siam Terrace,1270106893044550,Anjali Ramani,2017-12-06 03:52:19.818+00,Siam Terrace,212 West Main Street, Urbana,Urbana,United States,Illinois
🤑,Ozu Ramen,10212886863311893,Sujay Khandekar,2017-08-31 04:55:18.899+00,Ozu Ramen,South 6th Street, Champaign,Champaign,United States,Illinois
👌,Wyatt Center,4fSiQkmyzzSrHMcu6b221awqU6j1,Yasemin Cicek,2018-10-12 14:53:36.563+00,Wyatt Center,1930 South Drive, Nashville,Nashville,United States,Tennessee
🌑,Auer Chocolatier,108032751776815363988,Jerry Talton,2018-06-06 14:09:29.134+00,Auer Chocolatier,Rue de Rive 4, Genève,GenèveSwitzerland,Genève
🍽,Blue Hill At Stone Barns,108032751776815363988,Jerry Talton,2018-05-20 23:39:33.657+00,Blue Hill At Stone Barns,630 Bedford Road, Tarrytown,Tarrytown,United States,New York
🌙,Thomas M. Siebel Center for Computer Science,10212391291791338,Jinda Han,2018-09-21 15:36:57.016+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
🌅,Urbana's Market at the Square,10155200088205955,Ranjitha Kumar,2018-07-21 13:46:38.296+00,Urbana's Market at the Square,401 South Vine Street, Urbana,Urbana,United States,Illinois
🍰,Nikki Cafe,1806470722731430,Akira Matsuda,2018-03-11 05:12:47.177+00,Nikki Cafe,4 Chome-1-5 Hongo, Bunkyō,Bunkyō-ku,Japan,Tōkyō-to
🎶,Flint Center for the Performing Arts,2041070856167987,Julian Tso,2018-03-12 23:09:48.992+00,Flint Center for the Performing Arts,21250 Stevens Creek Blvd, Cupertino,Cupertino,United States,California
😋,Jurassic Grill,1760092214030588,Laurece Omar Vazquez,2017-11-01 04:27:33.006+00,Jurassic Grill,404 East Green Street, Champaign,Champaign,United States,Illinois
🏡,530 W Griggs St,4fSiQkmyzzSrHMcu6b221awqU6j1,Yasemin Cicek,2018-10-24 07:33:54.203+00,530 W Griggs St,Urbana,Urbana,United States,Illinois
🚌,Illinois Street Residence Hall,10212391291791338,Jinda Han,2018-09-23 12:20:36.036+00,Illinois Street Residence Hall,United States,Urbana,United States,Illinois
🤔,Sea-Tac Airport,106173579224565293482,Kala Shivaramaiah,2018-11-26 20:51:51.143+00,Sea-Tac Airport,United States,SeaTac,United States,Washington
😳,W Stoughton St,904147553087729,Charis Ryu,2018-02-28 02:41:30.572+00,W Stoughton St,Urbana,Urbana,United States,Illinois
🛣,Boston Logan International Airport,10155200088205955,Ranjitha Kumar,2018-10-29 22:54:03.053+00,Boston Logan International Airport,1 Harborside Drive, Boston,Boston,United States,Massachusetts
💜,The Violet Hour,1660353924016921,Olivia Gatti,2018-03-17 01:32:08.292+00,The Violet Hour,1520 North Damen Avenue, Chicago,Chicago,United States,Illinois
🦕,Royal Ontario Museum,0HqYkVD6BCOAI5e3sIeCaSvqFOz1,Minsuk Chang,2019-02-14 01:10:16.332+00,Royal Ontario Museum,100 Queens Park, Toronto,Toronto,Canada,Ontario
🍚,Birds of a Feather,106173579224565293482,Kala Shivaramaiah,2018-07-13 19:30:24.862+00,Birds of a Feather,191 Grand Street, Brooklyn,,United States,New York
👍,BOSS Store,108032751776815363988,Jerry Talton,2018-05-23 22:47:02.462+00,BOSS Store,10 Columbus Circle Ste #106, New York,New YorkUnited States,New York
🛁,Fairfax,108032751776815363988,Jerry Talton,2018-11-22 15:37:43.784+00,Fairfax,Fairfax,Fairfax,United States,Virginia
🥟,Gasthaus Sapa,b1HtE5PetwZSYwKUmMhntRzlEij1,Felix De Montis,2019-01-31 00:03:02.117+00,Gasthaus Sapa,Lindengasse 35, Wien,WienAustria,Wien
👎,Freddy's Frozen Custard and Steakburgers,103629337075362,Hubert Gao,2017-11-20 23:44:16.611+00,Freddy's Frozen Custard and Steakburgers,5101 Texas 121 #100, The Colony,The Colony,United States,Texas
😊,Lokal '71,10155963998008817,Deniz Arsan,2018-06-11 18:15:47.461+00,Lokal '71,Üniversiteler Mahallesi, Ankuva AVM No:12,,Turkey,Ankara
🤯,Grainger Engineering Library Information Center,904147553087729,Charis Ryu,2018-02-08 23:09:06.056+00,Grainger Engineering Library Information Center,1301 West Springfield Avenue, Urbana,Urbana,United States,Illinois
🍞,Panera Bread,1559098000810232,林緯宸,2018-01-18 23:56:06.71+00,Panera Bread,616 East Green Street, Champaign,Champaign,United States,Illinois
🏀,University of Illinois Campus Recreation,10215323205660534,Austin Sun,2018-09-01 18:57:07.26+00,University of Illinois Campus Recreation,201 East Peabody Drive, Champaign,Champaign,United States,Illinois
🥩,Joule,rsz45h7FGneakMuNMiLFRbf7Wkm1,Yoojung Kim,2018-05-12 08:01:18.724+00,Joule,3506 Stone Way N, Seattle,Seattle,United States,Washington
👦,Manresa Bread,106173579224565293482,Kala Shivaramaiah,2019-01-19 19:03:06.66+00,Manresa Bread,195 East Campbell Avenue, Campbell,Campbell,United States,California
🍔,Federal Galley,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2019-03-20 23:08:56.562+00,Federal Galley,200 Children's Way, Pittsburgh,Pittsburgh,United States,Pennsylvania
📊,Thomas M. Siebel Center for Computer Science,10155200088205955,Ranjitha Kumar,2019-02-28 17:10:03.977+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
🌳,Blackhawk Farms Raceway,878293195646842,Joe Higgs,2018-06-24 20:12:34.865+00,Blackhawk Farms Raceway,South Beloit,South Beloit,United States,Illinois
😅,San Jose,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-12-22 20:35:14.452+00,San Jose,San Jose,San Jose,United States,California
💸,Market 17,794492160751553,Wyndham Batchelor,2017-10-02 02:45:01.504+00,Market 17,1850 Southeast 17th #109, Fort Lauderdale,Fort Lauderdale,United States,Florida
🍸,Employees Only Miami,794492160751553,Wyndham Batchelor,2018-03-27 03:08:08.781+00,Employees Only Miami,1030 Washington Ave, Miami Beach,Miami Beach,United States,FL
😊,NYKS Bistro-Pub,AIkwmbmie4VhCquS1ciSGq6g9u53,Ailie Fraser,2018-04-22 04:17:08.937+00,NYKS Bistro-Pub,1250 Rue de Bleury, Montréal,Montréal,Canada,Québec
🆕,The Broad,10155351902975735,Ruta Lele,2018-07-29 20:15:49.01+00,The Broad,221 S Grand Ave, Los Angeles,Los Angeles,United States,California
🍕,Το Μαύρο Πρόβατο,10211437303582304,Vasilis Kiliaris,2017-11-26 21:07:36.455+00,Το Μαύρο Πρόβατο,Leoforos Agias Varvaras 56, Paleo Faliro,Paleo Faliro,Greece,
👍,Dreamcatcher Tipi Hotel,10155200088205955,Ranjitha Kumar,2019-08-15 13:35:15.597+00,Dreamcatcher Tipi Hotel,20 Maiden Basin Drive, Gardiner,Gardiner,United States,Montana
🍶,Masa,108032751776815363988,Jerry Talton,2018-08-24 11:55:51.019+00,Masa,10 Columbus Circle, New York,New YorkUnited States,New York
🍱,Chopstix,743076299226362,Carolina Figueroa,2017-11-13 21:20:51.449+00,Chopstix,202 East Green Street Suite 1, Champaign,Champaign,United States,Illinois
👵,Eilean Donan Castle,10155200088205955,Ranjitha Kumar,2019-05-09 15:41:56.685+00,Eilean Donan Castle,Dornie, Kyle of Lochalsh,,United Kingdom,Scotland
😍,Strawberry Hill Plaza,MPQsMHZAGmU3BKXXZkg4Bjtps803,Eddie Federmeyer,2019-03-19 22:42:00.912+00,Strawberry Hill Plaza,623 Meacham Road, Elk Grove Village,Elk Grove Village,United States,Illinois
🍣,Oishi Hibachi Steakhouse,xkUdubkt3Cgfn7peWTWTEejSvmm1,Hang Yuan,2018-10-06 01:18:19.635+00,Oishi Hibachi Steakhouse,2501 North Prospect Avenue, Champaign,Champaign,United States,Illinois
👍,Ventana Big Sur,10155200088205955,Ranjitha Kumar,2019-07-20 01:17:57.194+00,Ventana Big Sur,48123 California 1, Big Sur,Big Sur,United States,California
😎,Sue's Gallery Cafe,105856798281199967470,Sujay Khandekar,2018-08-29 06:34:00.777+00,Sue's Gallery Cafe,14665 Big Basin Way, Saratoga,Saratoga,United States,California
😄,Papa Del's,157924978075040,Kala Shivaramaiah,2018-01-16 22:03:30.847+00,Papa Del's,1201 South Neil Street, Champaign,Champaign,United States,Illinois
🍷,Sugarfina,106173579224565293482,Kala Shivaramaiah,2019-05-19 02:47:35.644+00,Sugarfina,377 Santana Row #1015, San Jose,San Jose,United States,California
😋,Noah's Bagels,108032751776815363988,Jerry Talton,2018-04-24 15:27:12.83+00,Noah's Bagels,100 Bush Street Ste 102, San Francisco,San Francisco,United States,California
😋,Mos Burger,10215323205660534,Austin Sun,2018-12-20 22:35:26.336+00,Mos Burger,9號4F, Hangzhan South Road, Dayuan District,,Taiwan,Taoyuan City
🍪,O.G. Variar and Sons Bakery,105541935333594264230,usha shree,2018-05-21 10:10:07.173+00,O.G. Variar and Sons Bakery,68, 12th Main Rd, Near RTO, 2nd Block, Rajaji Nagar, Bengaluru,Bengaluru,India,Karnataka
🍔,Crane Alley,110478412661569610356,cynthia coleman,2018-02-07 19:50:25.958+00,Crane Alley,115 West Main Street, Urbana,Urbana,United States,Illinois
🍉,Maize Mexican Grill,10155798357876617,Berk Serbetcioglu,2017-09-27 13:40:42.679+00,Maize Mexican Grill,60 East Green Street, Champaign,Champaign,United States,Illinois
🚆,Newark Liberty International Airport,105856798281199967470,Sujay Khandekar,2018-07-12 12:28:01.277+00,Newark Liberty International Airport,3 Brewster Road, Newark,Newark,United States,New Jersey
🔜,Champaign,10155200088205955,Ranjitha Kumar,2018-11-15 15:08:30.951+00,Champaign,Champaign,Champaign,United States,Illinois
🍜,Ozu Ramen,10212886863311893,Sujay Khandekar,2017-10-31 19:53:21.025+00,Ozu Ramen,601 South 6th Street Suite 102, Champaign,Champaign,United States,Illinois
🍕,Lucky Vito's Pizzeria,1760092214030588,Laurece Omar Vazquez,2018-06-04 04:36:40.923+00,Lucky Vito's Pizzeria,1950 North Kimball Avenue, Chicago,Chicago,United States,Illinois
😁,Legends,z3oYnYSwTbPD1shpY9WAPRNHGeo2,Samone Desai,2018-05-07 03:57:11.018+00,Legends,522 East Green Street, Champaign,Champaign,United States,Illinois
💃,Tuco And Blondie,1659104244102907,Dayana Edat,2018-03-25 21:18:25.633+00,Tuco And Blondie,3358 North Southport Avenue, Chicago,Chicago,United States,IL
🥖,The Bread Company,1952478298114591,John Ray,2018-02-19 21:08:52.504+00,The Bread Company,706 South Goodwin Avenue, Urbana,Urbana,United States,Illinois
🍷,Cafe Monarch,108032751776815363988,Jerry Talton,2018-08-11 05:47:11.139+00,Cafe Monarch,6939 E 1st Ave, Scottsdale,Scottsdale,United States,Arizona
🤯,LiqrBox,10210457306100125,Kagan Allen,2018-05-19 21:24:59.201+00,LiqrBox,873 N Orleans St, Chicago,Chicago,United States,Illinois
🐓,Mendocino Farms,106173579224565293482,Kala Shivaramaiah,2018-06-18 01:44:11.815+00,Mendocino Farms,1875 S Bascom Ave Suite 440, Campbell,Campbell,United States,California
🍤,Sakanaya Restaurant,2053211201557946,Keye Zhang,2018-03-11 05:45:35.104+00,Sakanaya Restaurant,403 East Green Street, Champaign,Champaign,United States,Illinois
😌,Restaurant Alma,1660353924016921,Olivia Gatti,2018-02-28 18:55:12.448+00,Restaurant Alma,528 University Ave SE, Minneapolis,Minneapolis,United States,Minnesota
🎨,General Porpoise Doughnuts,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2019-01-13 21:25:55.231+00,General Porpoise Doughnuts,401 1st Avenue South, Seattle,Seattle,United States,Washington
🤑,Pool Pub Çayyolu,dSqRO0Pn6Nc1HvKSwT2E2cKArSh2,Arınç Elhan,2018-06-18 17:39:09.142+00,Pool Pub Çayyolu,Koru Mahallesi, 2432. Caddesi 200 B,,Turkey,Ankara
🍳,Local 360,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-09-25 23:51:09.294+00,Local 360,2234 1st Avenue, Seattle,Seattle,United States,Washington
💯,Big Star,878293195646842,Joe Higgs,2018-06-08 01:29:45.463+00,Big Star,1531 North Damen Avenue, Chicago,Chicago,United States,Illinois
💻,Illini Union,vZzHgozANGdfpQATwglsOHYXkU52,Liza Sivriver,2019-07-16 21:39:51.396+00,Illini Union,1401 West Green Street, Urbana,Urbana,United States,Illinois
🤣,Shakespeare's Globe,106173579224565293482,Kala Shivaramaiah,2019-05-27 14:34:54.006+00,Shakespeare's Globe,21 New Globe Walk, London,,United Kingdom,England
💯,Thomas M. Siebel Center for Computer Science,10215323205660534,Austin Sun,2018-09-24 16:02:48.874+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
😋,Mayfield Bakery & Cafe,157924978075040,Kala Shivaramaiah,2017-12-23 22:18:19.902+00,Mayfield Bakery & Cafe,855 El Camino Real, Palo Alto,Palo Alto,United States,California
👍,Xinh Xinh Cafe,10155200088205955,Ranjitha Kumar,2017-12-11 23:59:30.287+00,Xinh Xinh Cafe,114 North Vine Street, Urbana,Urbana,United States,Illinois
🎣,Rodbenders Raw Bar & Grill,149333212339665,Mary Barone,2018-05-24 13:39:06.698+00,Rodbenders Raw Bar & Grill,1834, 20400 Old Cutler Rd, Cutler Bay,Cutler Bay,United States,Florida
🏰,Royal Ontario Museum,0HqYkVD6BCOAI5e3sIeCaSvqFOz1,Minsuk Chang,2019-02-14 01:10:16.332+00,Royal Ontario Museum,100 Queens Park, Toronto,Toronto,Canada,Ontario
😴,Burger King,944504469042061,Eddie Federmeyer,2018-04-07 21:52:39.825+00,Burger King,1106 West University Avenue, Urbana,Urbana,United States,Illinois
👕,Banana Republic,878293195646842,Joe Higgs,2018-01-13 19:28:10.749+00,Banana Republic,744 North Michigan Avenue, Chicago,Chicago,United States,Illinois
😀,Hole In the Wall Burger Joint,oFF4ICVgaIPLwhLwLtV9xa0NDye2,Gregg Chadwick,2018-05-02 05:36:36.365+00,Hole In the Wall Burger Joint,2200 Colorado Ave C, Santa Monica,Santa Monica,United States,California
💅,Klass Hair Shop,904147553087729,Charis Ryu,2018-05-12 03:26:49.388+00,Klass Hair Shop,532 Dogok-ro, Daechi 2(i)-dong, Gangnam-gu,Seoul,South Korea,
😷,San Jose,106173579224565293482,Kala Shivaramaiah,2018-11-16 23:00:00.882+00,San Jose,San Jose,San Jose,United States,California
😎,The Scotch Whisky Experience,106173579224565293482,Kala Shivaramaiah,2019-03-12 23:07:04.04+00,The Scotch Whisky Experience,The Royal Mile, 354 Castlehill, Edinburgh,,United Kingdom,Scotland
🌄,University of California, Los Angeles,10155351902975735,Ruta Lele,2018-04-06 22:48:08.031+00,University of California, Los Angeles,Los Angeles,Los Angeles,United States,CA
🌯,Chipotle Mexican Grill,zIXVtn3gqnQH6MF0I88bvyBC6F73,Zach Clewell,2018-04-30 17:10:26.546+00,Chipotle Mexican Grill,528 East Green Street #101, Champaign,Champaign,United States,Illinois
🍖,JX Cuisine,10212391291791338,Jinda Han,2018-05-21 01:43:29.768+00,JX Cuisine,3581 Homestead Rd, Santa Clara,Santa Clara,United States,California
🤣,Restaurant SUBWAY,whyy8TsRrPW97WDmlyfQIOTIdbh1,Kayur Patel,2018-04-25 15:19:35.196+00,Restaurant SUBWAY,159 Rue Saint-Antoine Ouest, Montréal,Montréal,Canada,Québec
👌,Tallboy Taco,10212886863311893,Sujay Khandekar,2018-02-17 20:05:34.146+00,Tallboy Taco,325 West Huron Street, Chicago,Chicago,United States,Illinois
👌,Nou Can Codina,10203814544039457,James Childress,2018-03-18 22:33:04.459+00,Nou Can Codina,Carrer del Torrent de l'Olla, 20, Barcelona,Barcelona,Spain,Catalunya
🙌,Mountain View Station,105856798281199967470,Sujay Khandekar,2018-07-03 17:43:19.52+00,Mountain View Station,600 West Evelyn Avenue, Mountain View,Mountain View,United States,California
🍔,Meatheads,1842834859127406,Sujal Sutaria,2018-03-11 01:59:54.033+00,Meatheads,1305 South Neil Street, Champaign,Champaign,United States,Illinois
🥗,Kyusu Burmese Cuisine,10155351902975735,Ruta Lele,2018-03-26 22:50:04.185+00,Kyusu Burmese Cuisine,1312 Saratoga Ave, San Jose,San Jose,United States,CA
🖼,The Rubens House,105856798281199967470,Sujay Khandekar,2018-08-10 13:12:26.132+00,The Rubens House,Wapper 9-11, Antwerpen,Antwerpen,Belgium,Vlaanderen
🥗,Millennium,1650275194993086,Tyler Cartwright,2018-03-01 05:58:03.359+00,Millennium,5912 College Ave, Oakland,Oakland,United States,California
😅,Selfridges,106173579224565293482,Kala Shivaramaiah,2019-03-17 22:22:07.02+00,Selfridges,,,United Kingdom,England
🍦,Li'l Woody's,849156475252964,Alyssa Chen,2018-05-19 04:26:42.748+00,Li'l Woody's,1211 Pine Street, Seattle,Seattle,United States,Washington
🍛,Sunda,1726108570780522,Shivali Patel,2018-08-18 20:19:12.677+00,Sunda,110 West Illinois Street, Chicago,Chicago,United States,Illinois
🥩,TAT'S Delicatessen,10214788409806965,Berwin Xie,2018-05-11 17:44:18.874+00,TAT'S Delicatessen,159 Yesler Way, Seattle,Seattle,United States,Washington
😍,Campbell Farmer's Market,10155200088205955,Ranjitha Kumar,2018-07-01 17:20:50.128+00,Campbell Farmer's Market,East Campbell Avenue, Campbell,Campbell,United States,California
😍,Bella Italia Edinburgh Hanover St,10203191900074104,Sunil Khandekar,2018-05-28 14:40:02.333+00,Bella Italia Edinburgh Hanover St,9/11 Hanover Street, Edinburgh,Edinburgh,United Kingdom,Scotland
🤒,Panera Bread,1586942511398249,Habib Ben,2018-02-25 01:03:32.599+00,Panera Bread,616 East Green Street, Champaign,Champaign,United States,Illinois
😖,Papa John's Pizza,10155737452821971,Tianyin Xu,2018-01-29 07:19:34+00,Papa John's Pizza,39724 Cedar Boulevard, Newark,Newark,United States,California
🌶,Nittaya's Secret Kitchen,105856798281199967470,Sujay Khandekar,2019-02-11 19:39:00.734+00,Nittaya's Secret Kitchen,7667, 2110 North Rampart Boulevard #110, Las Vegas,Las Vegas,United States,Nevada
🎒,Campus Circle Apartments,10212391291791338,Jinda Han,2018-08-27 04:10:21.749+00,Campus Circle Apartments,1010 West University Avenue, Urbana,Urbana,United States,Illinois
🥪,The Ritz London,10155200088205955,Ranjitha Kumar,2019-05-06 14:14:22.396+00,The Ritz London,150 Piccadilly, London,,United Kingdom,England
👏,Noodles and Company,1608334025894651,Rory Shanley,2018-03-16 17:37:59.491+00,Noodles and Company,528 East Green Street, Champaign,Champaign,United States,Illinois
🏛,Plymouth Rock,10155200088205955,Ranjitha Kumar,2018-08-27 21:55:49.069+00,Plymouth Rock,79 Water St, Plymouth,Plymouth,United States,Massachusetts
🥞,Merry Ann's Diner (on Campus),10212391291791338,Jinda Han,2018-02-05 22:20:03.983+00,Merry Ann's Diner (on Campus),701 South Gregory Street c, Urbana,Urbana,United States,Illinois
😊,Pho Cafe Thai Kitchen,1748667878486854,Ingrid Pan,2018-03-14 01:03:34.69+00,Pho Cafe Thai Kitchen,611 East Green Street, Champaign,Champaign,United States,Illinois
🍹,Roister Restaurant,10155200088205955,Ranjitha Kumar,2017-09-30 21:40:52.396+00,Roister Restaurant,951 West Fulton Market, Chicago,Chicago,United States,Illinois
