body,entityname,userid,username,createdAt,entityName,address,city,country,state
🌶,EDEKA Moch Supermarket,106173579224565293482,Kala Shivaramaiah,2018-10-18 04:37:40.745+00,EDEKA Moch Supermarket,Grunerstraße 20, Berlin,BerlinGermany,Berlin
😴,Floret - By Cafe Flora,106173579224565293482,Kala Shivaramaiah,2018-11-30 04:07:54.656+00,Floret - By Cafe Flora,17801 International Boulevard, SeaTac,SeaTac,United States,Washington
🤒,Hometown Pantry,904147553087729,Charis Ryu,2018-09-20 20:28:19.657+00,Hometown Pantry,509 East Green Street #2, Champaign,Champaign,United States,Illinois
🍲,villa de spicy,904147553087729,Charis Ryu,2018-05-12 10:55:10.034+00,villa de spicy,14-3 Dosan-daero 13-gil, Gangnam-gu,Seoul,South Korea,
🐔,Indo Cafe,105856798281199967470,Sujay Khandekar,2018-03-20 21:06:28.99+00,Indo Cafe,14443-C Big Basin Way, Saratoga,Saratoga,United States,California
💯,Thee Brooklyn Barber,10155279177545749,Evan Hughes,2017-11-19 16:15:17.266+00,Thee Brooklyn Barber,99 Norman Avenue, Brooklyn,,United States,New York
🍰,Ikenberry Dining Center,10203939764651022,Vincent Chang,2017-09-27 19:50:23.601+00,Ikenberry Dining Center,301 East Gregory Drive, Champaign,Champaign,United States,Illinois
🍖,Girl & The Goat,878293195646842,Joe Higgs,2018-01-08 04:01:36.812+00,Girl & The Goat,809 West Randolph Street, Chicago,Chicago,United States,Illinois
🍻,The Grove - Yerba Buena,1650275194993086,Tyler Cartwright,2017-12-04 21:38:53.328+00,The Grove - Yerba Buena,690 Mission Street, San Francisco,San Francisco,United States,California
🥞,Perkins Restaurant & Bakery,10159323352450136,Savana Savage,2017-12-03 04:44:14.018+00,Perkins Restaurant & Bakery,1214 West University Avenue, Urbana,Urbana,United States,Illinois
🤓,Palais des Congrès in Montreal,dbGwVTbywNULTYwqEJW7kaiPXEY2,Andrés Monroy-Hernández,2018-04-24 00:20:07.264+00,Palais des Congrès in Montreal,1001 Jean Paul Riopelle Pl, Montreal, QC H2Z 1H5 Place Jean-Paul-Riopelle, Montréal,Montréal,Canada,Québec
😅,Thai Grata Restaurant,106173579224565293482,Kala Shivaramaiah,2018-05-23 17:23:52.322+00,Thai Grata Restaurant,846 Blossom Hill Road, San Jose,San Jose,United States,California
😣,Buddy V's Ristorante,10203814544039457,James Childress,2018-04-08 20:38:02.858+00,Buddy V's Ristorante,3327 S Las Vegas Blvd, Las Vegas,Las Vegas,United States,NV
🍎,Curtis Orchard & Pumpkin Patch,10212391291791338,Jinda Han,2018-10-01 20:49:25.863+00,Curtis Orchard & Pumpkin Patch,3902 South Duncan Road, Champaign,Champaign,United States,Illinois
🤷,Apricot Lane,904147553087729,Charis Ryu,2018-03-17 20:26:14.718+00,Apricot Lane,627 South Wright Street, Champaign,Champaign,United States,Illinois
🌶,Ramen-san,10203191900074104,Sunil Khandekar,2017-09-02 00:40:13.742+00,Ramen-san,59 West Hubbard Street #2, Chicago,Chicago,United States,Illinois
🤯,Chef Hung Taiwanese Beef Noodle,10210528750468531,Jewel Pi,2018-03-04 04:11:08.99+00,Chef Hung Taiwanese Beef Noodle,19369 Stevens Creek Boulevard #100, Cupertino,Cupertino,United States,California
