types
"bar,restaurant,food,point_of_interest,establishment"
"university,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"bar,restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,bakery,food,point_of_interest,store,establishment"
"point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"airport,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment"
"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"bar,restaurant,food,point_of_interest,establishment"
"restaurant,meal_takeaway,food,point_of_interest,store,establishment"
"restaurant,meal_takeaway,food,point_of_interest,store,establishment"
"restaurant,bakery,food,point_of_interest,store,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"cafe,food,point_of_interest,store,establishment"
"restaurant,cafe,bar,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"bar,point_of_interest,establishment"
"tourist_attraction,museum,point_of_interest,establishment"
"point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"bar,night_club,restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"cafe,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"dentist,health,point_of_interest,establishment"
"bakery,food,point_of_interest,store,establishment"
"restaurant,food,point_of_interest,establishment"
"point_of_interest,store,establishment"
"bakery,cafe,restaurant,food,point_of_interest,store,establishment"
"cafe,food,point_of_interest,store,establishment"
"restaurant,food,point_of_interest,establishment"
"hair_care,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"meal_takeaway,restaurant,food,point_of_interest,establishment"
"grocery_or_supermarket,food,point_of_interest,store,establishment"
"point_of_interest,establishment"
"point_of_interest,establishment"
"meal_takeaway,liquor_store,restaurant,food,point_of_interest,store,establishment"
"bar,point_of_interest,establishment"
"restaurant,food,point_of_interest,establishment"
"gym,health,point_of_interest,establishment"
"grocery_or_supermarket,food,point_of_interest,store,establishment"
"restaurant,food,point_of_interest,establishment"
